timestamp,cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps,active_window_class,window_count,keyboard_rate,mouse_rate,process_count
1768826091,0.0,23.7,0,0,0,0,com.mitchellh.ghostty,4,0,0,310
1768826092,8.8,23.9,28672,1224704,0,0,com.mitchellh.ghostty,4,0,0,309
1768826093,10.6,23.9,0,684032,0,0,com.mitchellh.ghostty,4,0,0,309
1768826094,11.5,23.9,0,749568,0,0,com.mitchellh.ghostty,4,0,0,309
1768826095,11.0,23.9,0,688128,0,0,com.mitchellh.ghostty,4,0,0,309
1768826096,10.7,24.0,0,614400,392,429,com.mitchellh.ghostty,4,0,0,309
1768826097,10.3,23.9,0,561152,663,612,com.mitchellh.ghostty,4,0,0,309
1768826098,11.8,24.0,0,548864,1350,2083,helium,4,0,0,310
1768826099,11.5,23.9,0,614400,251,302,com.mitchellh.ghostty,4,0,0,310
1768826100,10.2,23.9,0,540672,0,0,com.mitchellh.ghostty,4,0,0,310
1768826101,10.8,23.9,0,548864,90,196,com.mitchellh.ghostty,4,0,0,310
1768826102,10.8,23.9,0,618496,42,62,com.mitchellh.ghostty,4,0,0,312
1768826103,11.9,23.9,16384,1327104,0,0,com.mitchellh.ghostty,4,0,0,312
1768826104,11.3,23.9,0,860160,86,111,com.mitchellh.ghostty,4,0,0,312
1768826105,10.5,23.9,0,921600,0,0,com.mitchellh.ghostty,4,0,0,312
1768826106,9.1,23.8,0,540672,86,161,com.mitchellh.ghostty,4,0,0,311
1768826107,8.6,23.8,0,1011712,196,134,com.mitchellh.ghostty,4,0,0,311
